route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
101E,SU,8693714,E-Line Union Station,0, 101 32,793350
101E,SU,8693717,E-Line Union Station,0, 101 33,793350
101E,SU,8693720,E-Line Union Station,0, 101 35,793350
101E,SU,8693723,E-Line Union Station,0, 101 36,793350
101E,SU,8693724,E-Line Union Station,0, 101 33,793350
101E,SU,8693727,E-Line Union Station,0, 101 34,793350
101E,SU,8693730,E-Line Union Station,0, 101 35,793350
101E,SU,8693733,E-Line Union Station,0, 101 31,793350
101E,SU,8693738,E-Line Union Station,0, 101 32,793350
101E,SU,8693742,E-Line Union Station,0, 101 33,793350
101E,SU,8693745,E-Line Union Station,0, 101 34,793350
101E,SU,8693748,E-Line Union Station,0, 101 35,793350
101E,SU,8693751,E-Line Union Station,0, 101 31,793350
101E,SU,8693754,E-Line Union Station,0, 101 37,793350
101E,SU,8693757,E-Line Union Station,0, 101 32,793350
101E,SU,8693763,E-Line Union Station,0, 101 35,793350
101E,SU,8693766,E-Line Union Station,0, 101 31,793350
101E,SU,8693769,E-Line Union Station,0, 101 37,793350
101E,SU,8693772,E-Line Union Station,0, 101 32,793350
101E,SU,8693777,E-Line Lincoln,1, 101 37,793379
101E,SU,8693783,E-Line Lincoln,1, 101 32,793379
101E,SU,8693784,E-Line Lincoln,1, 101 32,793378
101E,SU,8693785,E-Line Lincoln,1, 101 31,793378
101E,SU,8693790,E-Line Lincoln,1, 101 35,793379
101E,SU,8693793,E-Line Lincoln,1, 101 31,793379
101E,SU,8693796,E-Line Lincoln,1, 101 37,793379
101E,SU,8693799,E-Line Lincoln,1, 101 32,793379
101E,SU,8693802,E-Line Lincoln,1, 101 36,793379
101E,SU,8693805,E-Line Lincoln,1, 101 33,793379
101E,SU,8693808,E-Line Lincoln,1, 101 34,793379
101E,SU,8693810,E-Line Lincoln,1, 101 33,793379
101E,SU,8693811,E-Line Lincoln,1, 101 35,793379
101E,SU,8693814,E-Line Lincoln,1, 101 31,793379
101E,SU,8693817,E-Line Lincoln,1, 101 37,793379
101E,SU,8693820,E-Line Lincoln,1, 101 32,793379
101E,SU,8693823,E-Line Lincoln,1, 101 36,793379
101E,SU,8693826,E-Line Lincoln,1, 101 33,793379
101E,SU,8693829,E-Line Lincoln,1, 101 34,793379
101E,SU,8693832,E-Line Lincoln,1, 101 32,793379
101E,SU,8693835,E-Line Lincoln,1, 101 33,793379
101E,SU,8693841,E-Line Lincoln,1, 101 37,793379
101E,SU,8693844,E-Line Lincoln,1, 101 32,793379
101E,SU,8693847,E-Line Lincoln,1, 101 36,793379
101E,SU,8693852,E-Line Lincoln,1, 101 34,793379
101E,SU,8693855,E-Line Lincoln,1, 101 35,793379
101E,SU,8693858,E-Line Lincoln,1, 101 31,793379
101E,SU,8693861,E-Line Lincoln,1, 101 37,793379
101E,SU,8693864,E-Line Lincoln,1, 101 32,793379
101E,SU,8693865,E-Line Lincoln,1, 101 35,793378
101E,SU,8693872,E-Line Lincoln,1, 101 35,793379
101E,SU,8693875,E-Line Lincoln,1, 101 36,793379
101E,SU,8693876,E-Line Lincoln,1, 101 34,793379
101E,SU,8693877,E-Line Lincoln,1, 101 31,793379
101E,SU,8693885,E-Line Lincoln,1, 101 37,793379
101E,SU,8693888,E-Line Lincoln,1, 101 33,793379
101E,SU,8693889,E-Line Lincoln,1, 101 32,793379
101E,SU,8693892,E-Line Lincoln,1, 101 36,793379
101E,SU,8693895,E-Line Lincoln,1, 101 33,793379
101E,SU,8693898,E-Line Lincoln,1, 101 34,793379
101E,SU,8693904,E-Line Lincoln,1, 101 36,793379
101E,SU,8693907,E-Line Lincoln,1, 101 33,793379
101E,SU,8693910,E-Line Lincoln,1, 101 34,793379
101E,SU,8693913,E-Line Lincoln,1, 101 35,793379
101E,SU,8693916,E-Line Lincoln,1, 101 31,793379
101E,SU,8693920,E-Line Lincoln,1, 101 31,793379
101E,SU,8693924,E-Line Lincoln,1, 101 34,793378
101E,SU,8693930,E-Line Lincoln,1, 101 34,793379
101E,SU,8693932,E-Line Lincoln,1, 101 31,793379
101E,SU,8693936,E-Line Lincoln,1, 101 32,793379
101E,SU,8693941,E-Line Lincoln,1, 101 33,793379
101E,SU,8693946,E-Line Lincoln,1, 101 35,793379
101E,SU,8693954,E-Line Lincoln,1, 101 33,793378
101E,SU,8693955,E-Line Lincoln,1, 101 37,793378
101E,SU,8693957,E-Line Lincoln,1, 101 35,793379
101E,SU,8693959,E-Line Lincoln,1, 101 32,793379
101E,SU,8693961,E-Line Lincoln,1, 101 36,793379
101E,SU,8693965,E-Line Lincoln,1, 101 33,793379
101E,SU,8693968,E-Line Lincoln,1, 101 34,793379
101E,SU,8693971,E-Line Lincoln,1, 101 35,793379
101E,SU,8693974,E-Line Lincoln,1, 101 31,793379
101E,SU,8693977,E-Line Lincoln,1, 101 37,793379
101E,SU,8693980,E-Line Lincoln,1, 101 32,793379
101E,SU,8693983,E-Line Lincoln,1, 101 36,793379
101E,SU,8693986,E-Line Lincoln,1, 101 33,793379
101E,SU,8693989,E-Line Lincoln,1, 101 34,793379
101E,SU,8693992,E-Line Lincoln,1, 101 35,793379
101E,SU,8693995,E-Line Lincoln,1, 101 31,793379
101E,SU,8693998,E-Line Lincoln,1, 101 37,793379
101E,SU,8694002,E-Line Lincoln,1, 101 35,793379
101E,SU,8694006,E-Line Lincoln,1, 101 31,793379
101E,SU,8694009,E-Line Lincoln,1, 101 32,793379
101F,FR,8691629,F-Line 18th & California,0, 101 65,793347
101F,FR,8691630,F-Line 18th & California,0, 101 65,793347
101F,FR,8691674,F-Line 18th & California,0, 101 62,793347
101F,FR,8691675,F-Line 18th & California,0, 101 67,793347
101F,FR,8691744,F-Line 18th & California,0, 101 61,793347
101F,FR,8691759,F-Line 18th & California,0, 101 64,793347
101F,FR,8691799,F-Line 18th & California,0, 101 34,793347
101F,FR,8691826,F-Line 18th & California,0, 101 64,793347
101F,FR,8691877,F-Line 18th & California,0, 101 63,793347
101F,FR,8691889,F-Line 18th & California,0, 101 67,793347
101F,FR,8691891,F-Line 18th & California,0, 101 65,793347
101F,FR,8691892,F-Line 18th & California,0, 101 62,793347
101F,FR,8691893,F-Line 18th & California,0, 101 63,793347
101F,FR,8691894,F-Line 18th & California,0, 101 33,793347
101F,FR,8691895,F-Line 18th & California,0, 101 32,793347
101F,FR,8691897,F-Line 18th & California,0, 101 66,793347
101F,FR,8691898,F-Line 18th & California,0, 101 67,793347
101F,FR,8691899,F-Line 18th & California,0, 101 63,793347
101F,FR,8691900,F-Line 18th & California,0, 101 61,793347
101F,FR,8691901,F-Line 18th & California,0, 101 66,793347
101F,FR,8691902,F-Line 18th & California,0, 101 67,793347
101F,FR,8691903,F-Line 18th & California,0, 101 63,793347
101F,FR,8691904,F-Line 18th & California,0, 101 65,793347
101F,FR,8691905,F-Line 18th & California,0, 101 62,793347
101F,FR,8691906,F-Line 18th & California,0, 101 64,793347
